x1,x2,v1,v2,t
0.0,0.0,-0.1,0.1,0
-0.1,0.1,-0.060000000000000005,0.060000000000000005,1
-0.16,0.16,-0.020000000000000004,0.020000000000000004,2
-0.18,0.18,0.0,0.0,3
-0.18,0.18,0.0,0.0,4
-0.18,0.18,0.0,0.0,5
-0.18,0.18,0.0,0.0,6
-0.18,0.18,0.0,0.0,7
-0.18,0.18,0.0,0.0,8
-0.18,0.18,0.0,0.0,9
-0.18,0.18,0.0,0.0,10
-0.18,0.18,0.0,0.0,11
-0.18,0.18,0.0,0.0,12
-0.18,0.18,0.0,0.0,13
-0.18,0.18,0.0,0.0,14
-0.18,0.18,0.0,0.0,15
-0.18,0.18,0.0,0.0,16
-0.18,0.18,0.0,0.0,17
-0.18,0.18,0.0,0.0,18
-0.18,0.18,0.0,0.0,19
-0.18,0.18,0.0,0.0,20
-0.18,0.18,0.0,0.0,21
-0.18,0.18,0.0,0.0,22
-0.18,0.18,0.0,0.0,23
-0.18,0.18,0.0,0.0,24
-0.18,0.18,0.0,0.0,25
-0.18,0.18,0.0,0.0,26
-0.18,0.18,0.0,0.0,27
-0.18,0.18,0.0,0.0,28
-0.18,0.18,0.0,0.0,29
-0.18,0.18,0.0,0.0,30
